"id","from","to","type"
"cer31","Ceret","El_Volo","RVia"
"cer32","El_Volo","Perpinya","RVia"
"cer33","El_Pertus","El_Volo","RVia"
"cer34","Figueres","Besalu","RVia"
"cer35","Besalu","Hostalnou","RVia"
"cer36","Hostalnou","Sant_Pau","RVia"
"cer37","Vall_Civera","Vall_Llosa","RMon"
"cer38","Vall_Llosa","Martinet","RCam"
"gar01","Llivia","Porta","RCam"
"gar02","Porta","Porte","RMon"
"gar03","Porte","Hospitalet","RMon"
"mar01a","Amposta", "PuntMar4","RMar"
"mar01b","PuntMar4","Tarragona","RMar"
"mar02","Tarragona","PuntMar5","RMar"
"mar03a","PuntMar5","PuntMar1","RMar"
"mar03b","PuntMar1","Barcelona","RMar"
"mar04","Barcelona","PuntMar2","RMar"
"mar05","PuntMar2","Empuries","RMar"
"mar06","Empuries","PuntMar3","RMar"
"mar07","PuntMar3","Ruscino_Port","RMar"
"mar08","Ruscino_Port","PuntMar6","RMar"
"mar09","PuntMar6","Narbona","RMar"
"mar10","Perpinya","Ruscino_Port","RRiu"
"gas01","Tarbes","Campan","RRiu"
"gas02","Tarbes","Lhez","RVia"
"gas03","Lhez","Lanespede","RVia"
"gas04","Lanespede","Capvern","RVia"
"gas05","Capvern","Montrejeau","RVia"
"gas06","Montrejeau","Saint_Bertrand","RRiu"
"gas07","Saint_Bertrand","Chaum","RRiu"
"gas08","Chaum","Saint_Beat","RRiu"
"gas09","Saint_Beat","Melles","RCam"
"gas10","Melles","Bosost","RCam"
"gas11","Bosost","Las_Bordas","RCam"
"gas12","Las_Bordas","Vielha","RCam"
"gas13","Vielha","Salardu","RMon"
"gas14","Salardu","Bonaigua","RMon"
"gas15","Bonaigua","Esterri","RMon"
"gas16","Esterri","Llavorsi","RCam"
"gas17","Llavorsi","Alins","RCam"
"gas18","Alins","Tor","RMon"
"gas19","Tor","Port_Cabus","RMon"
"gas20","Port_Cabus","Seturia","RMon"
"gas21","Llavorsi","Rialp","RCam"
"gas22","Rialp","Ribera_Montardit","RCam"
"gas23","Ribera_Montardit","Gerri","RCam"
"gas24","Hospitalet","Ax","RCam"
"gas25a","Ax","Luzenac","RCam"
"gas25b","Luzenac","Tarascon","RRiu"
"gas26","Serrat","Auzat","RMon"
"gas27","Auzat","Tarascon","RCam"
"gas28","Tarascon","Montgaillard","RRiu"
"gas29","Montgaillard","Lavelanet","RCam"
"gas30","Lavelanet","Roquefeuil","RCam"
"gas31","Lavelanet","Mirepoix","RCam"
"gas32","Mirepoix","Fanjeaux","RCam"
"gas33","Fanjeaux","Carcassonne","RCam"
"gas34","Mirepoix","Pamiers","RCam"
"gas35","Montgaillard","Pamiers","RRiu"
"gas36","Pamiers","Toulouse","RRiu"
"gas37","Narbona","Carcassonne","RVia"
"gas38","Carcassonne","Toulouse","RVia"
"gas38","Tarascon","Saint_Girons","RCam"
"gas39","Saint_Girons","Salies","RCam"
"gas40","Salies","Toulouse","RRiu"
"gas41","Montrejeau","Salies","RRiu"
"gas42","Roquefeuil","Campagna","RCam"
"gas43","Ax","Roquefeuil","RCam"
"gas44","Roquefeuil","Montaillou","RCam"
"gas45","Montaillou","Luzenac","RCam"
"gas46","Ax","Orlu","RCam"
"gas47","Orlu","Porteille_Orlu","RMon"
"gas48","Porteille_Orlu","Fontrabiouse","RMon"
"gas48","Fontrabiouse","Matamala","RCam"
