Stage,Distance,Time,StageCost,Cost,Alt,Type,Long,Lat
Barcelona,0.0,0.0,0.0,0.0,9.0,None,2.177,41.383
Granollers,26.8,13.7,134.5,134.5,9.0,RVia,2.289,41.608
Vic,62.8,32.4,183.9,318.4,145.0,RVia,2.255,41.930
Ripoll,93.4,48.0,154.4,472.7,498.0,RVia,2.190,42.201
Campdevanol,96.6,50.2,16.7,489.5,691.0,RCam,2.169,42.226
Pobla_Lillet,112.7,60.5,81.0,570.5,738.0,RCam,1.976,42.246
Castellar,118.3,67.1,28.1,598.6,843.0,RMon,2.019,42.285
La_Molina,126.7,75.5,35.2,633.8,1395.0,RMon,1.956,42.344
Llivia,140.2,84.4,70.0,703.8,1400.0,RCam,1.981,42.464
