Node, Long, Lat, Time(hrs), Cost(kg)
Coll_Ordino,1.6,42.6,39.9,239.5
Montaup,1.5,42.5,43.4,223.6
Juclar,1.7,42.6,28.4,153.6
Envalira,1.7,42.5,27.3,175.1
Hospitalet,1.8,42.6,19.5,116.5
Soldeu,1.7,42.6,32.5,194.1
Incles,1.7,42.6,34.2,178.2
Canillo,1.6,42.6,36.4,224.6
Cortals,1.6,42.5,35.6,183.9
Encamp,1.6,42.5,39.3,206.2
Collada_Miners,1.6,42.6,42.9,214.9
Serrat,1.5,42.6,45.4,247.8
Ordino,1.5,42.6,40.5,251.8
Coma_Pedrosa,1.4,42.6,48.4,289.9
Seturia,1.4,42.5,41.3,286.0
La_Massana,1.5,42.5,39.2,241.7
Coll_Montaner,1.5,42.5,43.0,259.0
Os_Civis,1.4,42.5,37.9,280.6
Madriu,1.6,42.5,31.8,176.8
Andorra,1.5,42.5,36.2,229.7
Sant_Julia,1.5,42.5,32.9,253.0
Rabassa,1.6,42.4,40.1,214.8
La_Seu,1.5,42.4,24.5,240.8
