Stage,Distance,Time,StageCost,Cost,Alt,Type,Long,Lat
Perpinya,0.0,0.0,0.0,0.0,8.0,None,2.896,42.699
Nefiac,18.9,9.6,94.6,94.6,8.0,RVia,2.668,42.695
Prada,40.8,21.0,112.0,206.7,104.0,RVia,2.423,42.618
Vilafranca,46.4,24.0,29.3,236.0,300.0,RVia,2.369,42.588
Oleta,55.3,28.8,47.0,282.9,390.0,RVia,2.271,42.556
Fontpedrosa,64.1,33.8,49.8,332.7,563.0,RVia,2.181,42.513
La_Cabanassa,69.7,37.5,36.4,369.1,880.0,RVia,2.116,42.502
Sallagosa,77.4,41.6,40.5,409.6,1350.0,RVia,2.040,42.461
Llivia,82.3,44.2,24.9,434.5,1230.0,RVia,1.981,42.464
